Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000183833.16	41	88	9	27	134	200	256	198
ENSG00000183837.10	186	20	0	8	9	29	4	31
ENSG00000183840.8	141	180	90	147	129	74	138	63
ENSG00000183844.17	5	132	587	867	146	151	418	128
ENSG00000183850.14	1	232	29	1	6	5	1	16
ENSG00000183853.18	4483	849	810	2684	4037	2376	1343	1742
ENSG00000183856.11	2941	1196	1371	823	106	69	30	77
ENSG00000183862.6	0	137	0	0	0	0	0	0
ENSG00000183864.6	995	2201	2500	2006	4294	2034	2950	2542
ENSG00000183873.20	60	9	7	1	5	6	1	1
ENSG00000183876.9	192	61	103	23	289	311	98	224
ENSG00000183878.16	364	0	1	789	976	0	0	893
ENSG00000183888.4	0	1	0	0	0	1	0	0
ENSG00000183889.13	74	43	21	44	29	111	17	27
ENSG00000183891.6	87	338	51	173	137	385	140	289
ENSG00000183908.7	6	17	3	7	8	32	8	7
ENSG00000183909.7	0	0	0	0	0	0	0	0
ENSG00000183911.7	2	1	0	0	0	2	0	1
ENSG00000183914.15	801	422	636	506	45	121	702	204
ENSG00000183918.18	71	292	25	422	147	293	71	340
ENSG00000183921.8	2	1	1	2	4	25	10	27
ENSG00000183929.7	63	149	20	3	0	15	1	1
ENSG00000183935.6	0	0	0	0	0	0	0	0
ENSG00000183938.5	0	0	0	0	0	0	0	0
ENSG00000183943.6	388	980	202	489	1061	1158	505	837
ENSG00000183955.14	1450	907	876	709	1371	1523	1054	1310
ENSG00000183960.9	8	20	8	5	15	7	5	7
ENSG00000183963.19	2765	2041	1679	1207	2758	4179	814	2557
ENSG00000183971.10	8	128	12	6	23	47	4	14
ENSG00000183977.14	5	23	2	19	20	8	19	24
ENSG00000183978.8	908	1505	1292	803	1142	1366	966	999
ENSG00000183979.8	0	0	0	0	0	0	0	0
ENSG00000183981.8	0	0	0	0	0	0	0	0
ENSG00000184005.12	46	220	16	71	241	783	162	350
ENSG00000184007.22	4401	6793	6857	6690	6419	5716	5142	5622
ENSG00000184009.13	58855	50065	45702	31175	69236	69601	61812	52252
ENSG00000184012.14	37	3504	997	4192	5765	1850	5005	3756
ENSG00000184014.9	1231	2421	2072	2100	5205	4435	2891	2909
ENSG00000184022.4	0	0	0	0	0	0	0	0
ENSG00000184029.9	9	0	0	0	0	0	0	0
ENSG00000184032.3	0	0	0	0	0	0	0	0
ENSG00000184033.14	52	0	0	0	0	0	0	0
ENSG00000184047.21	80	59	44	27	50	51	22	65
ENSG00000184055.4	1	0	0	0	0	0	0	0
ENSG00000184056.15	138	86	66	59	78	168	48	113
ENSG00000184058.16	315	38	11	236	293	614	237	238
ENSG00000184060.12	695	547	399	1276	676	637	319	461
ENSG00000184068.2	1	5	3	1	14	5	7	12
ENSG00000184076.13	238	437	389	256	212	229	156	238
ENSG00000184083.12	251	331	467	275	295	392	250	290
ENSG00000184084.7	0	0	0	0	1	4	4	1
ENSG00000184100.6	12	23	12	21	30	24	18	15
ENSG00000184106.9	0	0	0	0	0	0	0	0
ENSG00000184108.8	1	0	0	0	0	1	3	0
ENSG00000184110.15	244	301	689	766	630	746	513	599
ENSG00000184111.6	0	0	0	0	0	0	0	0
ENSG00000184113.10	551	824	125	153	9972	13712	1881	7147
ENSG00000184115.18	0	1	5	0	0	0	0	0
ENSG00000184117.12	1222	2172	1738	1918	957	630	790	918
ENSG00000184139.8	0	0	0	0	0	0	0	0
ENSG00000184140.6	0	0	0	0	0	0	0	0
ENSG00000184144.12	0	4	0	2	0	7	1	1
ENSG00000184148.4	0	0	0	0	0	0	0	0
ENSG00000184154.16	114	59	87	92	142	219	359	185
ENSG00000184155.8	0	0	1	0	0	0	0	0
ENSG00000184156.18	71	729	1639	1931	422	85	136	206
ENSG00000184160.8	20	197	3	2	190	440	125	270
ENSG00000184162.15	445	511	611	295	186	329	160	257
ENSG00000184163.3	85	15	38	11	18	53	14	38
ENSG00000184164.15	1374	1606	1481	1522	1780	1418	702	1426
ENSG00000184166.3	0	0	0	0	0	0	0	0
ENSG00000184178.17	785	350	468	482	399	469	245	285
ENSG00000184182.19	306	340	310	299	419	329	257	327
ENSG00000184185.10	34	825	61	6	308	327	99	134
ENSG00000184188.6	0	0	0	0	1	0	0	0
ENSG00000184194.6	148	332	36	59	90	270	53	177
ENSG00000184203.8	674	1615	1016	1543	2403	2114	1578	1779
ENSG00000184205.14	1355	1177	3966	586	2336	2415	1801	3397
ENSG00000184206.13	13	47	4	7	17	17	3	4
ENSG00000184207.9	575	637	787	438	609	794	403	742
ENSG00000184208.13	0	0	0	0	0	0	0	0
ENSG00000184209.15	457	367	366	312	496	910	451	648
ENSG00000184210.6	1	0	6	2	0	4	0	0
ENSG00000184216.15	7841	2353	2690	2439	3668	2579	1682	2459
ENSG00000184220.12	625	181	282	747	409	517	254	291
ENSG00000184221.13	5	23	5	1	34	23	17	10
ENSG00000184224.4	8	2	5	2	1	5	0	1
ENSG00000184226.15	26	45	45	29	800	98	380	367
ENSG00000184227.8	4	11	16	45	56	53	47	153
ENSG00000184232.9	2121	830	257	312	2064	1671	596	1294
ENSG00000184254.18	424	913	46	123	489	302	168	194
ENSG00000184260.6	56	45	53	20	25	20	15	29
ENSG00000184261.5	182	12	2	12	13	11	4	7
ENSG00000184270.6	10	0	0	0	0	3	0	1
ENSG00000184271.18	176	261	155	181	616	1183	308	1010
ENSG00000184274.4	4	32	6	8	10	33	5	51
ENSG00000184276.3	0	3	1	0	0	0	0	1
ENSG00000184277.13	834	1187	1047	809	1278	2009	890	1282
ENSG00000184281.15	830	779	998	451	1126	1309	1063	1422
ENSG00000184292.7	7553	4488	8278	5780	4564	3961	9726	6588
ENSG00000184293.10	0	0	0	3	0	0	0	1
ENSG00000184302.7	0	2	1	0	0	0	1	0
ENSG00000184303.5	0	0	0	0	0	0	0	0
ENSG00000184304.17	246	550	272	74	873	681	900	679
ENSG00000184305.16	36	63	97	58	63	51	74	34
ENSG00000184307.17	460	305	175	2149	246	309	225	215
ENSG00000184313.20	24	14	3	10	6	14	7	45
ENSG00000184319.19	0	0	0	0	0	0	0	0
ENSG00000184321.1	0	1	0	0	0	0	0	0
ENSG00000184330.12	0	0	0	0	0	0	0	0
ENSG00000184343.11	1442	67	188	53	43	111	37	102
ENSG00000184344.4	7	5	0	2	3	11	1	6
ENSG00000184345.5	0	0	0	0	0	0	0	0
ENSG00000184347.16	1574	480	853	285	9384	4612	3557	3796
ENSG00000184349.14	214	1295	1365	183	350	264	161	214
ENSG00000184350.11	16	54	109	1	21	10	29	3
ENSG00000184351.8	0	0	0	0	0	0	0	0
ENSG00000184357.5	17	3	3	0	0	0	0	0
ENSG00000184361.13	16	14	29	32	12	8	18	26
ENSG00000184363.10	3290	910	2901	1208	691	568	931	672
ENSG00000184368.16	126	111	363	601	15	16	32	23
ENSG00000184371.14	3180	1368	3983	3173	6546	2849	3364	4186
ENSG00000184374.3	1	15	8	5	38	262	27	109
ENSG00000184378.3	130	27	260	41	56	23	184	63
ENSG00000184381.20	343	4142	605	307	608	1126	421	1301
ENSG00000184384.15	537	429	1634	1077	1617	1247	1132	1062
ENSG00000184385.2	0	5	15	0	1	1	21	38
ENSG00000184388.6	0	0	0	0	0	0	0	0
ENSG00000184389.9	11	5	10	0	12	0	2	4
ENSG00000184394.3	0	0	0	0	0	0	0	0
ENSG00000184402.15	502	3546	319	383	505	458	315	404
ENSG00000184408.10	204	47	39	54	44	33	16	20
ENSG00000184414.2	62	3	3	5	0	4	5	0
ENSG00000184423.5	0	0	0	0	0	0	0	0
ENSG00000184428.13	796	469	503	624	469	826	549	592
ENSG00000184432.11	5302	3002	4290	5565	3361	2761	2234	1898
ENSG00000184434.8	2	18	1	11	17	9	52	20
ENSG00000184436.12	1166	1074	1031	586	668	1149	645	809
ENSG00000184441.4	137	75	56	32	73	99	34	88
ENSG00000184445.12	710	1873	632	1115	285	456	129	402
ENSG00000184451.5	98	21	52	14	47	98	35	54
ENSG00000184454.7	4	198	532	83	370	146	472	250
ENSG00000184459.10	0	0	15	0	2	0	3	0
ENSG00000184465.16	312	852	290	476	324	718	167	581
ENSG00000184470.21	598	1119	496	532	952	1139	973	1005
ENSG00000184471.10	0	0	1	0	0	1	1	8
ENSG00000184478.8	288	0	0	0	0	0	0	0
ENSG00000184481.18	408	295	385	541	1107	1433	949	1023
ENSG00000184486.10	1	602	237	0	0	3	2	1
ENSG00000184489.13	1865	1708	1019	1829	3656	2334	1626	2358
ENSG00000184492.7	19	12	4	0	12	26	3	5
ENSG00000184497.13	435	357	121	147	1164	1984	214	836
ENSG00000184500.16	767	1383	1203	1203	5124	4921	3129	3091
ENSG00000184502.4	0	0	0	0	0	0	0	0
ENSG00000184507.17	4	1	2	1	2	3	0	0
ENSG00000184508.12	282	204	233	157	177	188	128	148
ENSG00000184515.11	187	46	117	151	195	310	117	220
ENSG00000184517.12	107	351	108	299	344	416	160	252
ENSG00000184523.5	0	0	0	0	0	0	0	0
ENSG00000184524.6	6	6	0	8	19	16	0	12
ENSG00000184530.9	0	4	1	0	5	5	1	3
ENSG00000184544.12	0	0	0	0	0	0	1	0
ENSG00000184545.11	215	500	1371	247	1851	515	1301	1521
ENSG00000184557.4	3767	2913	2684	1116	48308	5447	27542	34832
ENSG00000184560.8	0	0	1	0	0	0	0	2
ENSG00000184564.11	5	1168	4611	29	36	302	336	122
ENSG00000184566.3	0	0	0	0	0	0	0	0
ENSG00000184571.14	0	0	1	0	0	0	0	0
ENSG00000184574.10	600	121	248	254	209	141	96	78
ENSG00000184575.12	2016	2015	1966	2626	2123	2444	1171	1400
ENSG00000184584.14	1916	2869	2969	2355	5324	5532	3458	6310
ENSG00000184588.18	576	958	885	949	2091	1939	1037	2357
ENSG00000184599.14	2	0	1	1	0	2	0	1
ENSG00000184601.11	3	1	0	0	14	23	2	15
ENSG00000184602.6	653	1128	921	830	2515	1780	1938	1804
ENSG00000184608.10	0	0	0	0	2	2	3	2
ENSG00000184611.14	2	5	4	6	4	1	6	2
ENSG00000184612.8	0	0	0	0	0	1	0	0
ENSG00000184613.11	300	143	192	196	72	187	1044	183
ENSG00000184616.12	3	6	0	5	0	7	0	1
ENSG00000184617.11	0	1	0	0	3	3	1	6
ENSG00000184619.8	168	601	54	108	174	537	81	195
ENSG00000184624.4	0	0	0	0	0	0	0	0
ENSG00000184634.17	2304	1428	1120	1658	1738	2005	915	1379
ENSG00000184635.17	128	547	138	171	109	141	90	69
ENSG00000184640.20	7747	10055	9670	4789	9310	8984	5322	7176
ENSG00000184647.11	1	0	0	0	0	0	0	0
ENSG00000184650.11	0	26	0	0	0	2	2	0
ENSG00000184659.6	4	6	1	0	3	3	1	0
ENSG00000184661.14	167	130	178	223	14	21	8	23
ENSG00000184669.11	0	0	0	0	0	0	0	0
ENSG00000184672.12	1	0	0	0	2	2	7	2
ENSG00000184675.11	242	139	109	259	228	244	116	148
ENSG00000184677.18	1016	1425	527	988	1444	1823	900	1559
ENSG00000184678.11	2012	560	616	94	422	357	514	455
ENSG00000184697.7	1	246	33	16	4	7	2	14
ENSG00000184698.5	2	1	0	0	0	2	0	0
ENSG00000184702.20	51	35	35	4	21	22	6	9
ENSG00000184708.18	566	1067	576	766	718	1043	475	661
ENSG00000184709.7	2	0	6	0	0	8	62	5
ENSG00000184716.14	0	0	0	0	0	0	0	0
ENSG00000184719.13	168	105	74	149	159	99	55	76
ENSG00000184724.5	0	0	0	0	0	0	0	0
ENSG00000184730.12	253	687	470	723	1456	1150	1004	1188
ENSG00000184731.6	4	552	281	28	520	296	446	313
ENSG00000184735.7	0	9	0	0	0	0	0	0
ENSG00000184741.7	0	0	0	0	0	0	0	0
ENSG00000184743.13	1639	2713	1425	2702	3747	3759	1867	2504
ENSG00000184752.14	956	520	611	634	948	1829	680	1169
ENSG00000184761.9	0	0	0	0	0	0	0	0
ENSG00000184774.11	0	0	0	0	0	0	0	0
ENSG00000184785.6	274	66	78	45	594	620	183	258
ENSG00000184786.6	33	169	40	118	38	99	15	49
ENSG00000184787.19	2174	3118	1818	1911	3778	4396	2197	3146
ENSG00000184788.14	1	6	0	0	0	2	0	0
ENSG00000184789.6	0	0	0	0	0	0	0	0
ENSG00000184792.16	220	405	332	396	284	159	190	109
ENSG00000184795.9	0	1	0	0	0	0	0	0
ENSG00000184809.14	1	0	16	3	0	3	19	1
ENSG00000184811.4	26	1	0	0	1	2	1	3
ENSG00000184814.5	0	0	0	0	0	0	0	0
ENSG00000184828.10	33	950	124	94	594	605	603	452
ENSG00000184831.14	176	145	177	154	210	146	204	179
ENSG00000184838.15	77	68	53	48	56	164	67	83
ENSG00000184840.12	5302	4324	4886	4094	4651	4755	2805	3203
ENSG00000184844.6	0	0	0	0	0	0	0	0
ENSG00000184845.4	0	1	1	4	45	89	113	81
ENSG00000184856.7	0	0	0	0	0	0	0	0
ENSG00000184857.8	183	301	280	183	126	287	131	149
ENSG00000184860.10	358	369	146	165	192	175	137	99
ENSG00000184863.11	1330	2098	981	2303	2918	2719	1201	2445
ENSG00000184867.14	1495	443	391	840	912	1202	654	812
ENSG00000184887.14	1698	1426	1575	762	1582	1984	1232	1531
ENSG00000184895.8	0	0	0	0	0	0	0	0
ENSG00000184897.7	1248	933	1591	692	2852	4631	3335	3451
ENSG00000184898.7	146	509	236	525	561	938	415	364
ENSG00000184900.16	4393	2521	3030	2984	4317	4263	2599	2994
ENSG00000184903.10	148	127	76	100	253	428	217	217
ENSG00000184905.9	0	5	30	4	203	143	221	296
ENSG00000184906.12	0	0	0	0	0	0	0	0
ENSG00000184908.20	15	23	168	18	29	22	21	15
ENSG00000184911.15	0	1	3	0	0	0	0	1
ENSG00000184916.9	3481	568	357	284	1686	3033	1048	1193
ENSG00000184922.15	4647	1615	975	1761	2758	1923	1422	2703
ENSG00000184923.12	27	41	12	22	40	57	40	59
ENSG00000184924.6	176	322	300	438	272	324	234	289
ENSG00000184925.12	127	42	16	11	28	28	15	48
ENSG00000184933.6	3	1	0	0	0	0	0	0
ENSG00000184937.17	85	48	3	26	17	9	51	74
ENSG00000184939.16	563	999	647	675	752	1279	606	843
ENSG00000184945.15	0	28	0	0	0	0	0	0
ENSG00000184949.18	180	709	211	389	48	114	208	170
ENSG00000184954.4	0	0	0	0	0	0	0	0
ENSG00000184956.16	0	15484	0	10	4	26	1	25
ENSG00000184961.5	0	0	0	0	0	0	0	0
ENSG00000184967.7	1304	519	554	378	492	523	387	453
ENSG00000184979.12	337	896	299	579	368	485	447	238
ENSG00000184983.11	955	1324	1199	1090	1363	1826	963	1466
ENSG00000184984.10	27	9	0	5	7	15	0	16
ENSG00000184985.17	282	991	113	915	751	187	715	369
ENSG00000184986.12	236	134	43	22	162	247	156	153
ENSG00000184988.8	391	260	293	559	331	378	205	301
ENSG00000184990.13	1671	2036	1576	1107	1799	2721	1536	2295
ENSG00000184991.3	0	0	0	1	0	0	0	0
ENSG00000184992.13	555	1245	514	541	430	334	240	333
ENSG00000184995.7	0	5	0	1	0	4	0	1
ENSG00000184999.13	0	4	0	0	32	45	7	19
ENSG00000185000.12	2468	956	1076	1040	1313	1870	894	1556
ENSG00000185002.10	4	0	0	0	0	3	0	1
ENSG00000185008.19	18	46	50	24	676	822	362	477
ENSG00000185009.13	590	1294	960	2199	1512	1455	928	931
ENSG00000185010.15	292	460	237	227	937	1603	1119	931
ENSG00000185013.17	2	14	5	15	8	2	2	4
ENSG00000185015.8	96	664	129	564	319	123	487	353
ENSG00000185019.17	512	363	250	166	437	503	312	380
ENSG00000185022.12	310	925	1361	230	5309	1351	10023	5559
ENSG00000185024.18	1434	1629	1213	709	1136	1561	989	1450
ENSG00000185028.4	3	32	9	3	0	1	1	2
ENSG00000185031.6	0	5	0	2	0	0	0	5
ENSG00000185033.15	2433	4510	8224	1796	2975	906	2426	1762
ENSG00000185037.10	0	0	0	0	0	0	0	0
ENSG00000185038.15	0	8	7	39	4	0	0	2
ENSG00000185040.14	5	8	2	1	16	30	22	13
ENSG00000185043.13	2919	3878	4381	2526	2406	2839	3271	3638
ENSG00000185046.21	25	55	16	5	98	66	142	45
ENSG00000185049.16	2170	1237	894	718	704	1284	649	904
ENSG00000185052.13	118	258	13	79	949	827	662	672
ENSG00000185053.14	4	0	0	1	0	0	0	0
ENSG00000185055.11	5	15	5	73	23	29	162	41
ENSG00000185056.10	0	1	1	0	0	2	0	1
ENSG00000185065.7	14	47	19	11	16	16	7	8
ENSG00000185069.2	0	0	0	0	0	0	0	0
ENSG00000185070.12	451	461	228	127	558	1107	251	544
ENSG00000185074.7	0	0	0	1	0	0	0	0
ENSG00000185078.3	0	0	0	0	0	0	1	0
ENSG00000185085.2	765	1406	623	1178	630	842	524	506
ENSG00000185088.14	1301	1077	537	696	2258	2467	1280	1582
ENSG00000185090.15	733	337	330	316	135	102	63	78
ENSG00000185100.12	342	341	435	190	194	238	151	208
ENSG00000185101.13	1577	2666	1636	1229	637	575	322	993
ENSG00000185104.21	1198	1095	1520	1187	1331	1296	1126	1018
ENSG00000185105.5	16	0	8	3	0	9	0	0
ENSG00000185112.6	414	387	313	121	4068	1866	590	1581
ENSG00000185115.6	606	458	395	271	959	906	718	794
ENSG00000185122.11	5531	2021	2400	1961	2840	3285	2032	2927
ENSG00000185127.7	515	935	577	1451	1375	1107	809	887
ENSG00000185129.8	302	1185	392	788	1711	1304	880	739
ENSG00000185130.6	18	2	1	0	0	2	4	0
ENSG00000185133.15	114	1496	267	488	173	140	219	258
ENSG00000185149.6	0	0	0	0	0	0	0	0
ENSG00000185155.12	5	46	0	33	2	10	6	3
ENSG00000185156.6	4	100	546	165	16	36	36	21
ENSG00000185158.13	234	713	305	169	245	337	193	333
ENSG00000185163.10	1418	587	516	463	830	1244	602	928
ENSG00000185164.15	1152	1308	2631	1758	1088	1087	781	1079
ENSG00000185168.8	5	64	165	27	47	75	43	59
ENSG00000185176.13	0	17	4	0	0	0	0	0
ENSG00000185177.14	0	0	0	0	0	0	0	0
ENSG00000185182.15	0	0	0	0	0	0	0	0
ENSG00000185186.11	53	7	7	0	14	12	1	10
ENSG00000185187.14	1007	2033	1464	852	1736	2905	1215	2378
ENSG00000185189.18	753	1123	513	614	1614	2314	773	1853
ENSG00000185198.12	1	2	3	0	0	13	8	11
ENSG00000185201.18	1555	3502	5223	4090	7945	9783	6802	5669
ENSG00000185203.13	0	1	1	1	0	0	0	0
ENSG00000185215.11	9161	11216	7698	5818	10838	6144	5738	10269
ENSG00000185219.18	659	968	414	732	1269	1476	627	1006
ENSG00000185220.12	375	329	342	367	197	350	124	251
ENSG00000185221.6	0	0	0	0	0	0	0	0
ENSG00000185222.10	1593	1425	1526	886	2160	2076	1401	1715
ENSG00000185231.5	0	0	0	0	0	0	0	0
ENSG00000185236.12	2666	4701	8790	2568	4001	4663	3310	3972
ENSG00000185238.13	270	497	413	575	394	435	292	331
ENSG00000185245.9	16	51	13	53	30	64	22	89
ENSG00000185246.18	462	1795	837	999	695	1525	434	972
ENSG00000185247.15	434	0	0	1	0	0	0	0
ENSG00000185250.16	36	153	35	153	176	126	800	245
ENSG00000185252.19	430	737	551	297	336	445	234	233
ENSG00000185261.16	16	115	171	108	144	131	148	109
ENSG00000185262.9	2223	1069	1886	1135	1932	1952	1615	2008
ENSG00000185264.12	0	0	0	0	0	0	1	0
ENSG00000185267.10	16	33	18	34	40	91	68	63
ENSG00000185269.12	73	8	10	6	133	167	428	223
ENSG00000185271.9	31	5	6	11	21	67	26	54
ENSG00000185272.14	40	117	66	83	37	38	62	53
ENSG00000185274.13	11	130	5	230	339	353	435	478
ENSG00000185275.6	20	70	21	51	2	0	4	5
ENSG00000185278.16	248	1113	237	577	741	1222	321	732
ENSG00000185290.4	0	112	1	0	16	10	40	25
ENSG00000185291.12	0	0	0	0	0	0	0	1
ENSG00000185294.7	0	0	0	0	0	0	0	0
ENSG00000185296.8	0	0	0	0	0	0	0	0
ENSG00000185298.13	1291	598	1009	564	544	794	328	527
ENSG00000185303.17	94	10586	69679	84679	697313	67725	513847	514870
ENSG00000185304.16	19	34	1	62	1	12	22	10
ENSG00000185305.12	247	1064	352	401	1465	1837	456	772
ENSG00000185306.13	131	7	0	1	0	1	1	1
ENSG00000185313.9	0	0	0	3	1	8	1	0
ENSG00000185319.5	0	0	0	0	0	0	0	0
ENSG00000185324.22	4588	3490	1111	1326	1663	3444	1013	2812
ENSG00000185332.9	20	66	154	62	28	16	24	35
ENSG00000185338.7	162	144	1137	124	828	238	464	668
ENSG00000185339.10	1164	2092	783	2220	2678	2997	1032	2381
ENSG00000185340.16	1813	629	612	408	2024	1919	770	1497
ENSG00000185344.15	576	661	420	646	1022	1232	544	828
ENSG00000185345.25	54	28	38	11	143	157	98	144
ENSG00000185347.19	444	649	492	215	462	473	353	1068
ENSG00000185352.10	0	108	41	4	9	10	0	7
ENSG00000185359.14	8050	2409	3840	2414	2413	2520	1746	2335
ENSG00000185361.9	405	726	200	360	859	1463	1096	655
ENSG00000185372.4	0	0	0	0	1	0	0	1
ENSG00000185379.21	285	439	378	356	397	638	270	423
ENSG00000185385.5	0	0	0	0	0	0	0	0
ENSG00000185386.15	274	653	309	273	1558	3328	359	1247
ENSG00000185390.2	0	0	0	0	0	0	0	0
ENSG00000185404.17	614	980	945	940	564	938	362	868
ENSG00000185414.20	365	572	525	780	650	949	472	592
ENSG00000185418.16	337	279	294	268	317	395	329	377
ENSG00000185420.19	587	906	890	453	504	530	530	512
ENSG00000185432.12	267	697	209	872	3943	4526	4966	3570
ENSG00000185433.12	10	4	1	8	0	9	1	10
ENSG00000185436.12	59	384	119	162	293	178	426	247
ENSG00000185437.16	7	7	10	11	18	10	15	12
ENSG00000185442.13	582	1202	974	436	916	1299	1257	1157
ENSG00000185448.12	0	0	0	0	0	0	0	0
ENSG00000185453.13	171	173	159	173	502	805	409	660
ENSG00000185467.8	27	11	26	43	5	3	30	9
ENSG00000185475.11	1353	851	1002	1158	710	895	648	718
ENSG00000185477.6	301	1475	252	1616	1996	1146	843	1292
ENSG00000185479.6	2	9	8	1	1	0	1	0
ENSG00000185480.12	47	135	90	189	68	56	31	35
ENSG00000185482.8	166	133	66	242	236	226	182	223
ENSG00000185483.13	175	417	191	203	888	429	912	450
ENSG00000185485.15	0	0	0	0	0	0	0	0
ENSG00000185495.11	0	0	0	0	0	0	0	0
ENSG00000185499.17	19832	14119	24897	26012	11581	2147	8989	8006
ENSG00000185504.17	1944	1101	1511	955	1389	1606	829	1284
ENSG00000185507.21	2400	2653	2486	1928	1248	1177	1947	1834
ENSG00000185513.18	76	278	65	81	112	285	48	204
ENSG00000185515.16	368	757	601	646	605	550	426	409
ENSG00000185518.12	20	77	0	25	115	237	88	94
ENSG00000185519.9	10	32	14	0	3	2	1	1
ENSG00000185522.9	345	402	291	142	549	409	398	628
ENSG00000185523.6	0	1	3	5	3	6	6	2
ENSG00000185527.12	32	82	13	44	31	57	21	37
ENSG00000185532.20	91	118	87	175	1315	1218	806	805
ENSG00000185551.15	789	1413	606	508	3940	5424	1306	1935
ENSG00000185559.16	0	1	0	8	0	0	9	1
ENSG00000185561.10	327	99	123	152	1054	808	792	661
ENSG00000185565.14	81	206	58	201	2219	1737	1134	1105
ENSG00000185567.7	2812	956	1513	1161	902	1004	563	335
ENSG00000185585.20	1776	275	228	285	1658	2486	1204	1499
ENSG00000185591.10	2007	2952	1877	3186	3670	3752	2856	2610
ENSG00000185594.8	0	7	1	1	1	0	0	0
ENSG00000185596.17	0	0	0	0	0	0	0	0
ENSG00000185607.5	15	8	13	0	0	0	0	0
ENSG00000185608.9	532	601	635	665	707	976	615	688
ENSG00000185610.6	3	0	0	0	2	2	1	0
ENSG00000185614.7	43	17	21	22	118	503	33	160
ENSG00000185615.16	14	6	11	407	10	94	9	23
ENSG00000185619.19	3055	4108	1992	1171	1532	2411	579	1678
ENSG00000185621.11	302	294	347	239	340	195	269	247
ENSG00000185624.16	38653	14754	46570	25903	14767	10381	8713	10263
ENSG00000185627.19	2509	2996	2478	2835	2725	4386	1779	2992
ENSG00000185630.20	2201	1540	360	246	4894	3606	2434	2260
ENSG00000185631.7	0	0	0	0	0	2	0	4
ENSG00000185633.11	567	294	70	178	1091	1578	281	943
ENSG00000185634.12	12	17	102	11	17	40	38	20
ENSG00000185638.9	0	0	0	0	0	0	0	0
ENSG00000185640.6	6	0	0	0	0	6	8	7
ENSG00000185641.6	107	111	69	122	513	981	515	622
ENSG00000185650.10	16622	38771	21383	15525	23052	14816	19353	15813
ENSG00000185651.16	2528	3717	3043	3085	2898	3253	2006	2253
ENSG00000185652.12	0	4	14	6	66	98	13	39
ENSG00000185658.14	618	4557	850	2322	2309	2613	1493	1828
ENSG00000185662.11	0	1	0	0	1	3	0	10
ENSG00000185664.15	72	73	45	45	41	51	33	57
ENSG00000185666.16	13	106	8	4	93	162	49	115
ENSG00000185668.8	90	8	12	44	14	11	15	29
ENSG00000185669.6	36	80	35	79	100	105	64	118
ENSG00000185670.9	76	126	98	131	99	238	68	102
ENSG00000185674.10	2	5	4	1	2	5	1	5
ENSG00000185681.13	6	2	0	5	2	53	309	76
ENSG00000185684.18	0	1	0	0	0	0	0	0
ENSG00000185686.18	1033	5	25	63	0	0	0	2
ENSG00000185689.18	0	0	0	0	0	0	0	0
ENSG00000185697.17	119	307	130	377	175	303	99	300
ENSG00000185700.11	0	0	0	0	0	0	0	0
ENSG00000185701.7	0	0	0	0	0	0	0	0
ENSG00000185710.10	0	54	46	1	8	16	11	0
ENSG00000185716.12	165	677	243	404	774	794	403	494
ENSG00000185721.14	843	1164	1024	1460	986	1679	822	1213
ENSG00000185722.18	1278	1968	1436	2292	2762	2103	1875	1780
ENSG00000185728.17	895	2553	1058	2259	2527	2099	1853	1693
ENSG00000185730.8	515	260	302	372	345	532	213	254
ENSG00000185736.16	11	103	12	36	100	128	35	101
ENSG00000185737.13	7	4	2	3	72	100	12	41
ENSG00000185739.13	12	12	3	12	144	184	43	77
ENSG00000185742.7	0	4	3	4	16	2	15	2
ENSG00000185745.10	695	932	694	1444	1458	3033	3451	1623
ENSG00000185753.13	856	656	881	898	922	1026	718	770
ENSG00000185758.9	0	0	2	2	3	4	2	3
ENSG00000185760.18	83	45	955	306	19	29	13	21
ENSG00000185761.11	224	255	60	72	101	100	23	36
ENSG00000185774.17	4	12	0	6	4	17	5	7
ENSG00000185775.10	0	0	0	0	0	0	0	0
ENSG00000185787.16	5186	6993	6214	5200	9524	11305	6967	7976
ENSG00000185792.10	0	4	11	2	0	12	0	4
ENSG00000185798.8	328	141	231	136	156	226	105	141
ENSG00000185800.12	1260	555	603	479	1652	1529	986	1163
ENSG00000185803.12	2462	1619	1020	1441	1074	818	574	688
ENSG00000185808.14	200	413	296	397	432	703	479	530
ENSG00000185811.21	400	1190	268	1605	1526	1015	793	1362
ENSG00000185813.11	2038	539	1277	560	1105	862	978	1105
ENSG00000185818.8	280	107	14	5	29	27	16	11
ENSG00000185821.3	0	0	0	0	0	0	0	0
ENSG00000185823.5	0	0	0	0	3	3	0	11
ENSG00000185825.17	6068	3400	4124	4381	4883	6748	3591	4804
ENSG00000185829.19	89	91	123	133	110	116	57	161
ENSG00000185834.10	28	34	53	96	38	86	42	45
ENSG00000185837.6	0	10	6	3	3	4	8	1
ENSG00000185838.14	155	189	214	95	140	257	113	113
ENSG00000185839.3	52	55	105	74	24	30	23	35
ENSG00000185842.16	271	459	309	513	105	136	86	82
ENSG00000185847.10	0	0	0	0	2	1	0	0
ENSG00000185860.14	2	1	1	0	20	7	29	14
ENSG00000185862.7	314	1367	346	2548	1848	1695	1183	1691
ENSG00000185863.8	1	5	2	0	0	0	0	0
ENSG00000185864.20	126	268	139	137	52	168	76	253
